Project Name,Contributor Name,Contributor Code,Initial Commit Hash,Commits Six Months,Lines Six Months,Initial lines,Inital Comments,Initial Average CCN,Functions,Complex Functions,Comment Ratio,Modularity Level,Documentation Level,Install,Tutorial
zostera/django-bootstrap4,Allen  Timothy,P1C2,7acc584b1967d394592d9826c721cf5d1f7e9cb2,12,393,2817,1007,2.121387283,173,3,0.26333682,2,3,1,1
zostera/django-bootstrap4,Jared Proffitt,P1C3,499870b8b47d8fab0d984a710ab396c0282397ab,8,110,2843,1003,2.022346369,179,3,0.260790432,2,3,1,1
zostera/django-bootstrap4,Jonas Haag,P1C4,458f47facf0c16be19e0c85f3ad42b43087f8d73,7,46,2732,952,2.093167702,161,2,0.258414767,2,3,1,1
zostera/django-bootstrap4,Denis Kadyshev,P1C5,300ff049c0f03a1d50a1faf229e09bbf9907123d,5,16,2863,1008,2.033333333,180,3,0.26039783,2,3,1,1
zostera/django-bootstrap4,sedrubal,P1C6,5a018fdc4a31c2716b46b6f6f414465855407cb9,5,247,3052,1020,2.021505376,186,3,0.250491159,2,3,1,1
snorkel-team/snorkel,Vincent Chen,P4C1,d0e7cf48808bf886736caa348b80395488a2e64f,19,12364,43366,18423,3.51996286,1077,73,0.298159867,3,3,1,1
devitocodes/devito,George Bisbas,P5C1,ddea1d251b0f80f9f790295c63fe9b26e83425af,112,9656,21984,15222,2.725480283,1978,77,0.40912756,3,3,1,1
devitocodes/devito,Rhodri Nelson,P5C2,615ce442d63695fa4ae9ee75c0c359705c0e68e2,99,13241,21675,14175,2.741538462,1950,77,0.39539749,3,3,1,1
microsoft/sqltoolsservice,Charles Gagnon,P6C1,57727409c1d390556311704e89b63a627293a5ac,7,1090,258344,37903,2.117883043,6481,115,0.127943912,3,3,1,0
microsoft/sqltoolsservice,Alex Ma,P6C2,81b4bb775344de5cc8fef82c50477d54c0408809,3,365,307719,40770,2.135166094,6984,126,0.11699078,3,3,1,0
microsoft/sqltoolsservice,Aasim Khan,P6C3,487235b1e91919f8245d29e08b25bd98b0397d90,4,2330,269722,39117,2.115916184,6729,118,0.126658226,3,3,1,0
microsoft/sqltoolsservice,csigs,P6C4,6d7be6c019bee179ba5e7b367def7257a8d8aacc,1,17278,377805,49233,2.164048866,8022,147,0.115289506,3,3,1,0
microsoft/sqltoolsservice,Justin M,P6C5,61ada4782065366fd6b577406a3d14845fe63a54,20,8260,340375,49259,2.196011612,7923,147,0.126423772,3,3,1,0
microsoft/sqltoolsservice,Kim Santiago,P6C6,f7c86a80cac191e6b315ce68035613afb6ffe016,10,1632,260856,38445,2.118344995,6574,118,0.128449287,3,3,1,0
microsoft/sqltoolsservice,Alex Hsu,P6C7,6558f2036d20bb98424b688ad8314d633fbdf271,26,6774,649869,57973,2.194964938,8699,166,0.081901046,3,3,1,0
microsoft/sqltoolsservice,Hai Cao,P6C8,ffbc8a5c1a84ccf7dc676186c9da93c22f656384,7,201,515685,55791,2.180600024,8433,159,0.097626147,3,3,1,0
microsoft/sqltoolsservice,Udeesha Gautam,P6C9,347d233e952701e1d223b61392bbdd76abe7f66c,6,545,261705,38623,2.122346877,6596,118,0.128602728,3,3,1,0
decred/decrediton,bgptr,P9C1,b61479f9734bfbff9d69a7f36cb8a86939779f95,40,5382,87581,35518,1.807266983,2532,20,0.288531995,3,2,1,0
decred/decrediton,Amir Massarwa,P9C2,b3903b3bb240df41cbc76e5e268d7f2a563ec402,31,149022,126915,52795,1.805256065,2968,26,0.293778866,3,2,1,0
decred/decrediton,Guilherme Marques,P9C3,dc587ad888f82be21ea98ab81727a451aa2806bf,27,13169,126915,52795,1.805256065,2968,26,0.293778866,3,2,1,0
oneflow-inc/oneflow,Shenghang Tsai,P10C1,d1c23c3302c8dcb6f858054e22880ce5249cc58f,47,4409,73208,2322,1.783407348,4954,34,0.030742751,3,2,1,0
oneflow-inc/oneflow,lixinqi,P10C2,af01b0005df00e288b09c7bb15e6daf322641520,256,244418,69065,2312,1.796265212,4766,39,0.032391387,3,2,1,0
oneflow-inc/oneflow,Tsai,P10C3,01f0bc65767fabf4fd3fc7ce29b8069cb8666bac,311,38143,78294,2411,1.787009063,5296,39,0.029874233,3,2,1,0
oneflow-inc/oneflow,Xiaoyu Zhang,P10C4,e94616367b9d2c389b68e3c3c12563097fb9a5d5,151,36373,223011,41171,1.812763713,15168,155,0.15584332,3,3,1,1
oneflow-inc/oneflow,daquexian,P10C5,dfd4d7f747eae3b62241011b97cece92e216a50a,47,15033,122257,3253,1.704789383,8665,63,0.025918254,3,2,1,0
oneflow-inc/oneflow,Houjiang Chen,P10C6,8341f61279242c157e5f6d41d107d14978ff3fb4,6,3018,66271,1776,1.865135979,4486,43,0.026099608,3,2,1,0
oneflow-inc/oneflow,Luyang,P10C7,7394ec5ff76ab2ad62d0a257d3f720cd5f3b035c,74,29799,246672,46133,1.805620051,16797,175,0.15755537,3,3,1,1
oneflow-inc/oneflow,Yinggang Wang,P10C8,d27e639197a43e9d7d3769a33ba4c7b5a97d1d60,50,7713,208271,39767,1.79845614,14250,130,0.16032624,3,3,1,1
oneflow-inc/oneflow,ZZK,P10C9,7d4ffee4886a163a2fffd26c609dbb5f0c54f518,23,5377,198849,38310,1.777077447,13803,123,0.161537197,3,3,1,1
oneflow-inc/oneflow,liufengwei0103,P10C10,d7b2570aaec773d33744f6529b2c753c56a81b4e,59,12491,248958,46766,1.803109724,16979,176,0.158140699,3,3,1,0
oneflow-inc/oneflow,OuYang Yu,P10C11,04d30334acd7db747c26b057a37447051f9a8fa0,76,41651,141201,3502,1.711405232,9671,65,0.024201295,3,2,1,0
reportportal/service-ui,ElenaRomanchuk,P12C1,61cae543cacf0829c20e565093f36aa3131c9b9a,150,22415,150896,3955,1.407912688,4398,8,0.025540681,3,2,1,0
reportportal/service-ui,DiscoElevator,P12C2,c1803195b2d108cb951c273a4138312e44487d6a,2,1930,136898,3837,1.393767705,3883,8,0.027264007,3,2,1,0
reportportal/service-ui,KatsiarynaTatarynovich,P12C3,0c3825289a8eea67e958fa2eb5d60be602d3afa9,126,12602,167150,4020,1.397118156,5205,8,0.023485424,3,2,1,0
reportportal/service-ui,Mikhail Sidarkevich,P12C4,1632c78c4cf7e51f8014288601e9254e28aafd38,80,10046,205116,31129,1.422962015,7029,14,0.131765752,3,2,1,0
reportportal/service-ui,Katsiaryna Tatarynovich,P12C5,3d12914c9302a391a71fececa2a1d32d49123d6a,38,3008,203905,29825,1.407632659,6577,11,0.127604501,3,2,1,0
reportportal/service-ui,Mykhailo Kalashnikov,P12C6,a062344f14c2ca24d645da0be22ccf01e5568952,105,20715,152029,3971,1.404121864,4464,8,0.025455128,3,2,1,0
linuxdeepin/dde-dock,listenerri,P13C1,d78bdfea907eb982a83a7f170a384bc3a7f72a99,183,23520,44547,3725,1.954926625,954,9,0.077166888,3,2,0,0
linuxdeepin/dde-dock,shaojun,P13C2,32794014f7de5b3117e2fa84750302d4e76c9ddd,128,9631,50381,4584,2.1640625,1280,19,0.083398526,3,2,0,1
linuxdeepin/dde-dock,???,P13C3,67e1b7c2b486957e6c18f8f5d2493012598ab177,49,22883,53630,4763,2.233711048,1412,31,0.081567996,3,2,0,1
linuxdeepin/dde-dock,wangxuwen,P13C4,b7284a6ea35d14cfbbd98aba197260c103af13ba,78,3639,50384,4577,2.1640625,1280,19,0.083277233,3,2,0,1
linuxdeepin/dde-dock,Fan PengCheng,P13C5,0103f4165c6f79a1f288b7426e08712df9a52a62,30,5917,62526,5528,2.457978076,1642,48,0.081229612,3,2,0,1
linuxdeepin/dde-dock,zhaolong,P13C6,d0287da73786b8e6dca937cba59fb95000a589aa,66,18992,54134,4856,2.247450714,1471,34,0.082319037,3,2,0,1
linuxdeepin/dde-dock,Zhang Qipeng,P13C7,72ebd36a51ee35c58470fe868a3ebd4c916b0ae7,53,2776,63347,5643,2.533825338,1626,46,0.081794463,3,2,0,1
linuxdeepin/dde-dock,chenjun,P13C8,40af8358d572adefb06180570f6617d4514578d8,24,4003,62372,5520,2.451770452,1638,48,0.081305603,3,2,0,1
linuxdeepin/dde-dock,songwentao,P13C9,04404a6aa98e868bbb532badb33f5d7a5250757a,19,1748,67810,6410,2.514350028,1777,49,0.086364861,3,2,0,1
linuxdeepin/dde-dock,justforlxz,P13C10,11d97f206e4d50e566a3d66c3071eb7ec555ab92,7,196,47299,4161,2.014285714,1120,13,0.08085892,3,2,0,0
linuxdeepin/dde-dock,haruyukilxz,P13C11,b5f8253a9fa0b2c127b51919e1278823ec994234,16,614,42464,3578,1.936627282,931,9,0.077711655,3,2,0,0
linuxdeepin/dde-dock,fpc_diesel,P13C12,01142e55958581b74b2f66c80dfaaf31437257d7,46,11629,53445,4733,2.230169972,1412,30,0.081353776,3,2,0,1
linuxdeepin/dde-dock,liuxing,P13C13,1a455503d96435d375b6462c8595e1bf8e31c281,23,2996,62698,5543,2.466909532,1647,48,0.081226828,3,2,0,1
linuxdeepin/dde-dock,yanghongwei,P13C14,af4029f2d6a879267fc12d1e086b8b83ff4fe74d,28,1876,67509,6513,2.547082611,1731,49,0.087987355,3,2,0,1
linuxdeepin/dde-dock,FanPengCheng,P13C15,e4d755609065291ee5e1a6ada92dd3ea858a9ca5,28,7927,67755,6618,2.558941921,1739,51,0.088983905,3,2,0,1
ovn-org/ovn-kubernetes,Tim Rozet,P16C1,18a4e867431ebf8650e906b53e20fd5bc15724dc,42,3285,836757,116779,3.298810292,32529,1346,0.122469419,3,2,1,0
ovn-org/ovn-kubernetes,Alexander Constantinescu,P16C2,238c9663f9da415606835271fe3760ce8a612354,13,6346,814622,113748,3.392295597,30528,1327,0.122524425,3,2,1,0
ovn-org/ovn-kubernetes,Surya Seetharaman,P16C3,419938e0a3e1af2f69fda38113aeeb8df2590329,1,19,910209,124991,3.179911306,39236,1461,0.12074092,3,2,1,0
ovn-org/ovn-kubernetes,Jacob Tanenbaum,P16C4,f33e4c3888b18de040a8581c096a2ad27aaf8113,8,944,1587816,409912,2.773035096,90666,3090,0.205189095,3,2,1,0
ovn-org/ovn-kubernetes,Antonio Ojea,P16C5,6afd83c9c80a362af8ee9279fef34038d9591593,58,187023,910026,124956,3.179280634,39229,1460,0.120732534,3,2,1,0
ovn-org/ovn-kubernetes,Dan Winship,P16C6,6129cc681c2c6f1cbe16ef0355580fba5d83f1fb,12,1701,1590283,410149,2.772779865,90749,3096,0.205030213,3,2,1,0
ovn-org/ovn-kubernetes,Andreas Karis,P16C7,63d308520a8ff8b8caf1c8504aa5c079e6943d97,24,2612,1030676,162831,3.212831176,46652,1922,0.136430704,3,2,1,0
ovn-org/ovn-kubernetes,Jaime Caama�o Ruiz,P16C8,452f286ecfc9344e2ce06e83461ffc17ec84cb61,20,47008,1030444,162798,3.212650086,46640,1922,0.136433347,3,2,1,0
ovn-org/ovn-kubernetes,astoycos,P16C9,5933554cb105fc9ea4fb63291d9f053058bd7925,27,5891,1055202,165770,3.252416599,47691,1989,0.135768879,3,2,1,0
ovn-org/ovn-kubernetes,Federico Paolinelli,P16C10,d0c3df9d0144e7b885b5c93b4d59cb5a31a381ef,52,48058,1043639,165292,3.259647562,47214,1974,0.136725752,3,2,1,0
ovn-org/ovn-kubernetes,Dave Tucker,P16C11,9cce542dc647ee7a68f14bbb4861ca27888f336b,27,28773,903010,122364,3.180374919,38675,1439,0.119335969,3,2,1,0
ovn-org/ovn-kubernetes,Ionut Balutoiu,P16C12,ba2b804d0e5dbeec981aceb8355cb6973c412200,44,2000,1588853,410008,2.773153252,90700,3094,0.205120816,3,2,1,0
ovn-org/ovn-kubernetes,Martin Kennelly,P16C13,eff46e353de10756c94af8630713051570f0c016,27,1711,1127452,193437,3.073804671,53479,2027,0.146444554,3,2,1,0
ovn-org/ovn-kubernetes,Nadia Pinaeva,P16C14,6cec1dfa281a46174182f83fa04f38d3331d5a45,9,557,1120838,193682,3.082913868,53441,2045,0.147340474,3,2,1,0
ovn-org/ovn-kubernetes,Miguel Duarte Barroso,P16C15,979d856d3d680ff6f355eeec4dc8683aa90f4857,10,997,1039516,163898,3.21245312,46928,1937,0.136194194,3,2,1,0
ovn-org/ovn-kubernetes,Riccardo Ravaioli,P16C16,96c3bf8e0336fdb3df10b43598038bde7fd155d9,7,519,1122113,193190,3.083284995,53443,2048,0.146878704,3,2,1,0
ovn-org/ovn-kubernetes,Adrian Chiris,P16C17,7956cf1be51d817dec6862da7a9d63b76874788e,39,10277,1051880,165512,3.256832096,47533,1984,0.135956208,3,2,1,0
ovn-org/ovn-kubernetes,Flavio Fernandes,P16C18,da3d7059e9b820bc006f8b9ea8f1d9756913ae8c,20,3299,1067091,166738,3.203093169,48106,1985,0.135138662,3,2,1,0
ovn-org/ovn-kubernetes,Ori Braunshtein,P16C19,9a3ad064766710ab4f790a7017955db224d0a526,1,18,1123138,193384,3.08214466,53491,2046,0.146890063,3,2,1,0
ovn-org/ovn-kubernetes,Aniket Bhat,P16C20,ac35a2e6248b96409bd774df961a486ee470b488,19,24275,900484,122353,3.180926824,38756,1444,0.11962121,3,2,1,0
facebook/redex,Nikolai Tillmann,P20C1,b4acc9f96251ad2b4f6d90b1cbc0c8b448d7fd5c,70,11980,138658,26255,3.016052453,8846,368,0.159205157,3,2,1,1
facebook/redex,Andreas Gampe,P20C2,fce840d55b784df8a82d031b3f57b43a13463498,137,12292,182634,32860,2.872027853,11776,492,0.152486844,3,3,1,1
facebook/redex,Wei Zhang (Devinfra),P20C3,0809acb03d461f2b68832178d2b486360b8e21fe,50,7983,142260,26877,3.005753485,9038,375,0.158906685,3,2,1,1
facebook/redex,Feng Liu,P20C4,fa8f755b7f91ba5f4cad2c90d07617cebdf053cf,30,3793,119579,23724,3.062156504,7642,329,0.165551314,3,2,1,1
facebook/redex,Yuxuan Chen,P20C5,adef935ca908fcb414c7b60f3e688c2211cbcb6c,75,8468,151039,28781,3.020393068,9464,407,0.160054499,3,3,1,1
facebook/redex,Ashok Menon,P20C6,94c2b285f0ae89026623b6c2fe71a4e5b4e28d7e,47,4343,186932,33560,2.883490291,11999,505,0.152205069,3,3,1,1
facebook/redex,Adrian Catana,P20C7,950917ff252eb62ad64b9c7ab1f7322b9e0c4bd6,24,2167,190901,34004,2.894205515,12184,524,0.151192726,3,3,1,1
facebook/redex,Kugan Vivekanandarajah,P20C8,ab8538711469a31b96e63fd276e77ddb3a2e5261,15,2538,194211,34606,2.892059154,12442,528,0.151238763,3,3,1,1
pointfreeco/swift-snapshot-testing,Valeriy Van,P21C1,05c80039d607b4eb3433ad4013ed278bf8215627,8,21,7419,717,1.89119171,386,6,0.088126844,3,2,1,0
pointfreeco/swift-snapshot-testing,NachoSoto,P21C2,c634ef83cebad0e9bc3bde2c48c09221dd6c64ae,2,28,7025,711,1.903485255,373,6,0.091907963,3,2,1,0
pointfreeco/swift-snapshot-testing,Vincent Esche,P21C3,579dcacfb04dfb18d6bcd5861cf720089151d8df,3,857,6829,713,1.93557423,357,5,0.094537258,3,2,1,0
pointfreeco/swift-snapshot-testing,Witold Skibniewski,P21C4,868643805d761527ed544270af8bd7f901dd63c3,3,43,6208,593,1.948484848,330,5,0.08719306,3,2,1,0
pointfreeco/swift-snapshot-testing,David Harris,P21C5,2fd91357e90efe82bfa6845d1e7d5bc2f5025d35,1,10,7028,711,1.903485255,373,6,0.091872335,3,2,1,0
pointfreeco/swift-snapshot-testing,Ian Manor,P21C6,012fd98e58585ac48e6b4b0b4c6c34195b46ab8f,2,90,7262,716,1.895561358,383,6,0.089746804,3,2,1,0
pointfreeco/swift-snapshot-testing,Eric Jensen,P21C7,36694f3f73d272dc311fbfd271f80bf0ac457d21,2,582,7544,751,1.907692308,390,6,0.090536468,3,2,1,0
pointfreeco/swift-snapshot-testing,Shai Mishali,P21C8,219085ad5fbf0725b685a95da84623b187c6ae55,1,9,6220,593,1.948484848,330,5,0.087039483,3,2,1,0
pointfreeco/swift-snapshot-testing,Xavier Lowmiller,P21C9,bcbbbe28bfd38970d4f4ae27da4427ceb932b397,2,33,7040,713,1.896276596,376,6,0.091964401,3,2,1,0
cloudflare/terraform-provider-cloudflare,Jacob Bednarz,P22C1,48ab20374e911fe910bcbb4c1a9ea1841d557b6d,25,2798,198734,38764,2.721960036,9959,291,0.163218217,3,3,1,1
cloudflare/terraform-provider-cloudflare,Patryk Szczyg?owski,P22C3,9b21249578e8adedb048d49d4322b7297c51ac45,67,449605,198736,38766,2.721960036,9959,291,0.163223889,3,3,1,1
cloudflare/terraform-provider-cloudflare,Jacob White,P22C6,92ecca2fbf944396e98b281c00b913194f1e44ce,75,6905,50700,918,2.349661282,1919,36,0.017784494,3,3,1,1
cloudflare/terraform-provider-cloudflare,Christian Ehrig,P22C8,72b6e61cb5b113bfb0eb8fa2ad71606f3ea47a40,45,2201,455133,114016,2.685509656,23457,685,0.200327155,3,3,1,1
cloudflare/terraform-provider-cloudflare,Justin Holmes,P22C9,a4f3ce1a859c4e2c1fdc384b3e9403c9700b5138,17,1333926,464261,116563,2.701892152,23941,709,0.200685578,3,3,1,1
cloudflare/terraform-provider-cloudflare,Brad Swenson,P22C11,3f3b8fed97c312dc745a3d230480a6609ea5ce9e,39,1679,43070,765,2.26951567,1755,36,0.017451808,3,3,1,1
cloudflare/terraform-provider-cloudflare,Todd Stansell,P22C13,a6ff7f3887a0ffb133428893e9f247b98ea2e540,34,1044,38415,698,2.231058234,1597,30,0.017845729,3,3,1,1
cloudflare/terraform-provider-cloudflare,Brad,P22C14,47a1791ff7d446c0e96cdd15b1c4dd47a30c849a,28,1210,42650,765,2.263339071,1743,36,0.017620638,3,3,1,1
cloudflare/terraform-provider-cloudflare,Ivan Sabelnikov,P22C15,ddaa033c69cdbd29764c3c167aebad3035c0de88,24,852,45741,801,2.287581699,1836,36,0.017210262,3,3,1,1
cloudflare/terraform-provider-cloudflare,Radek Simko,P22C16,02934025edf236d3e0ee633a4c981fb9683629aa,5,19667,164010,33793,2.556769815,8693,207,0.170841696,3,3,1,1
